PR_number,repo,commment,user,created_at,PR_author
ant1,ant,"Resolve long path problem when starting antrun.py on Windows 7
os.system is bad idea to use
",vit1251,9/2/14,vit1251
ant1,ant,"I'm not familiar with how Python works on Windows at all, so please bear with me.  How does stripping quotes and explicitly adding them later help with long path?

Also I don't get the os.system comment - at least you didn't change any usage of os.system.

The script's author-header is another issue, we've removed all author notes as a policy from Ant's code base but obviously missed this one.
",bodewig,11/17/14,vit1252
ant1,ant,"Magic here:

-cmdline = ('%s %s -classpath %s -Dant.home=%s %s ' + \
+cmdline = ('""%s"" %s -classpath %s -Dant.home=%s %s ' + \
     'org.apache.tools.ant.launch.Launcher %s %s %s') \
      % (JAVACMD, ANT_OPTS, LOCALCLASSPATH, ANT_HOME, OPTS, ANT_ARGS, \
         CLASSPATH, string.join(sys.argv[1:], ' '))

When JAVACMD is ""C:/Program Files/Java/jre_1_7_55555/bin/java.exe"" os.system is call execute file""C:/Program"" but tht file is not found and it require quota.

I in my suggested patch add that quota but not tested in unix/linux ;)
",vit1251,11/18/14,vit1253
ant1,ant,"OK, I think I get that.  So it is not as much about long paths but rather paths with spaces in them.
",bodewig,11/18/14,vit1254
ant1,ant,"I've taken the liberty and only committed the subset actually related to the path changes.
",bodewig,11/6/15,vit1255
aries109,aries,"https://issues.apache.org/jira/browse/ARIES-1988

I created this pull request to highlight the new comments.",ackelcn,6/24/20,ackelcn
aries109,aries,Why should that be a good idea? You can look in github which lines were changed by which commit. Adding comments everywhere is like commenting every single line of code. ,cschneider,6/24/20,ackelcn
aries109,aries,"I agree with @cschneider not sure it's worth to add bunch of comments and ""noise"". -1 about this PR.",jbonofre,6/24/20,ackelcn
aries109,aries,"Indeed, my tool does not comment every line. It comments only those snippets that can be traced to a specifc commit. The comments link the code lines to issue reports, and shall be useful to understand code. 
I agree that some comments may describe too simple code lines, but shall we still accept comments on those complicated ones?",ackelcn,6/24/20,ackelcn
aries109,aries,"@ackelcn I know some people like this kind of tools, some don't so I wonder if you shouldn't push your tool to the next step and make it an intellij (or eclipse) plugin (a bit like ""annotate""/""blame"" features) which would preppend/append the issue as a link to the commit - extracting the issue from the commit. It would make everyone happy and would make the usage more straight forward IMHO.",rmannibucau,6/24/20,ackelcn
aries109,aries,It totally agree with Romain. Instead of adding the comments to the code you could add them on the fly while viewing the code. Apart from eclipse and idea plugins you could also create a github plugin. ,cschneider,6/24/20,ackelcn
aries109,aries,"Perhaps, instead of writting them in code comments, my tool shall store links and highlight the corresponding commits, when a programmers is interesting in a specific code line? So, shall my tool works like this? When you click a code line, it then presents a window to show the issue reports and commits.",ackelcn,6/24/20,ackelcn
